ID,ha_tenido_CREDITO_DE_CONSUMO,ha_tenido_CREDITO_DE_MATERIALES,ha_tenido_CREDITO_AUTO,ha_tenido_TDC,tiene_cuenta_COBRANZA,tiene_cuenta_BANCO_XYZ,tiene_cuenta_OTRO_BANCO,tiene_cuenta_revolvente,tiene_saldo_vencido,tiempo_vida_crediticia,numero_mora_historico,numero_mora_leve,numero_mora_alta,numero_mora_irrecuperable,cuentas_revolventes_abiertas,cuentas_negativas_actuales,cuentas_claves_hist_negativa,numero_solic_ultimos_6meses,total_solicitudes_reporte,pct_limit_cred_utilizado_revol,geo_variable,mes,target
10089_2019,0,0,1,1,0,0,1,1,0,847,0,0,0,0,2,0,0,3,8,27,0.055659978,1,0
10095_2019,0,0,1,1,0,0,1,1,0,6392,6,0,0,0,9,0,2,4,9,37,0.054869368,1,0
10101_2019,0,0,0,1,0,0,1,1,0,3266,7,0,0,0,9,0,3,4,4,14,0.055623478,1,0
10113_2019,1,0,0,1,0,0,1,1,0,3278,2,0,0,0,25,0,1,1,3,29,0.052922338,3,0
10117_2019,0,0,0,1,0,0,1,1,0,5392,6,0,0,0,16,0,2,2,5,77,0.052658186,1,0
1011_2019,0,0,0,1,0,0,1,1,0,362,0,0,0,0,2,0,0,1,5,0,0.054617673,1,0
10120_2019,0,0,0,1,0,0,1,1,0,3387,5,0,0,0,7,0,1,1,10,13,0.300140281,1,0
10121_2019,0,0,1,1,0,0,1,1,0,6696,15,0,0,0,28,0,11,6,27,14,0.065745916,1,0
10122_2019,0,0,0,1,0,0,1,1,0,4647,2,0,0,0,12,0,1,7,33,89,0.061236013,1,0
10125_2019,1,0,1,1,0,0,1,1,0,9264,4,0,0,0,18,0,1,7,23,1,0.062915407,1,0
10127_2019,1,0,1,1,1,1,1,1,0,5827,2,0,0,0,27,0,1,3,9,35,0.051960838,1,0
10129_2019,0,0,1,1,0,0,1,1,0,10943,12,0,0,0,26,0,5,1,8,19,0.059459682,1,0
1013_2019,1,0,1,1,0,0,1,1,0,4122,6,0,0,0,12,0,1,6,14,35,0.053381217,1,0
10140_2019,0,0,1,1,0,0,1,1,0,3911,2,0,0,0,5,0,1,1,8,48,0.057980396,1,0
10143_2019,1,0,0,1,0,0,1,1,0,5940,4,0,0,0,15,0,4,0,4,13,0.058255407,1,0
10147_2019,1,0,1,1,0,0,1,1,0,7408,2,0,0,0,6,0,1,1,10,69,0.051960838,1,0
10148_2019,0,0,0,1,0,0,1,1,0,2276,2,0,0,0,9,0,1,6,20,45,0.054473612,1,0
10149_2019,1,0,0,1,0,1,1,1,0,3661,2,0,0,0,34,0,3,11,20,13,0.058448797,1,0
10152_2019,0,0,0,1,0,0,1,1,0,3451,0,0,0,0,4,0,0,1,2,65,0.061856594,1,0
10156_2019,0,0,1,1,0,0,1,1,0,10809,98,0,0,0,25,0,3,4,5,17,0.054907304,1,0
10166_2019,0,0,1,1,0,0,1,1,0,5764,4,0,0,0,12,0,0,7,25,43,0.053537287,1,0
10169_2019,0,0,1,1,0,0,1,1,0,8688,2,0,0,0,15,0,1,3,9,1,0.083778299,1,0
10171_2019,0,0,0,1,0,0,1,1,0,1967,0,0,0,0,5,0,0,3,27,19,0.054756335,1,0
10179_2019,1,0,0,1,0,0,1,1,0,4858,4,0,0,0,16,0,3,5,16,5,0.056554982,1,0
1017_2019,1,0,0,1,0,0,1,1,0,1632,4,0,0,0,10,0,2,4,16,42,0.057803198,1,0
10181_2019,0,0,1,1,0,0,1,1,0,3101,0,0,0,0,19,0,0,1,27,18,0.119364545,1,0
10182_2019,1,0,1,1,0,1,1,1,1,10708,4,0,1,0,17,1,0,7,38,10,0.057068505,1,0
10183_2019,0,0,1,1,0,0,1,1,0,4517,0,0,0,0,7,0,0,1,11,36,0.052953875,1,0
10184_2019,0,0,0,1,0,0,1,1,0,1566,0,0,0,0,8,0,0,2,9,37,0.13303732,1,0
10185_2019,0,0,1,1,0,0,1,1,0,7844,2,0,0,0,20,0,2,6,12,9,0.063349697,1,0
10188_2019,0,0,1,1,0,0,1,1,0,1794,0,0,0,0,3,0,0,3,3,11,0.058849417,1,0
10189_2019,0,0,0,1,0,0,1,1,1,5253,101,1,0,0,11,1,6,2,6,37,0.058603659,1,0
10190_2019,0,0,1,1,0,0,1,1,0,1723,9,0,0,0,10,0,1,3,51,69,0.07018759,1,0
10199_2019,0,0,1,1,0,0,1,1,0,7705,0,0,0,0,7,0,0,0,10,143,0.059388595,1,0
1019_2019,0,1,0,1,0,0,1,1,0,3416,0,0,0,0,13,0,0,3,20,17,0.056929707,1,0
101_2019,1,0,0,1,0,0,1,1,0,3024,0,0,0,0,2,0,0,6,15,39,0.055853705,3,0
10200_2019,0,0,0,1,0,0,1,1,0,6345,2,0,0,0,10,0,0,1,8,90,0.068214947,1,0
10206_2019,1,1,1,1,0,0,1,1,1,6251,40,1,0,0,10,1,2,1,13,0,0.060642233,1,0
1020_2019,0,0,1,1,0,0,1,1,0,5962,4,0,0,0,10,0,2,1,18,24,0.054336579,1,0
10211_2019,0,0,0,1,0,0,1,1,0,631,0,0,0,0,3,0,0,4,10,50,0.13303732,1,0
10214_2019,0,0,1,1,0,0,1,1,0,5178,2,0,0,0,13,0,1,5,9,26,0.054976101,1,0
10216_2019,0,0,1,1,0,0,1,1,0,6412,0,0,0,0,5,0,0,3,18,16,1,1,0
10219_2019,0,0,0,1,0,0,1,1,0,3731,9,0,0,0,6,0,2,9,11,10,0.051960838,1,0
10223_2019,0,0,0,1,0,0,1,1,0,1495,4,0,0,0,12,0,2,11,27,43,0.05348442,1,0
10224_2019,1,0,0,1,1,0,1,1,1,6965,103,0,0,2,17,2,5,2,19,40,0.055697253,1,0
10226_2019,0,0,0,1,0,0,1,1,0,956,0,0,0,0,3,0,0,2,10,34,0.056741314,1,1
10228_2019,0,0,0,1,0,0,1,1,0,6158,5,0,0,0,14,0,4,2,6,9,0.05917199,1,0
10231_2019,0,0,0,1,0,0,1,1,0,6167,5,0,0,0,15,0,2,3,8,14,0.052475329,1,0
10232_2019,1,0,0,1,0,1,1,1,0,4499,2,0,0,0,15,0,0,14,31,45,0.054397878,1,0
10237_2019,1,0,0,1,0,0,1,1,0,3780,0,0,0,0,6,0,0,4,23,16,0.052191789,1,0
10243_2019,0,1,0,1,0,0,1,1,0,1154,0,0,0,0,8,0,0,2,8,51,0.05714138,1,0
10247_2019,1,1,0,1,0,0,1,1,0,6177,45,0,0,0,7,0,6,3,7,38,0.509184306,1,0
10248_2019,1,0,0,1,0,1,1,1,0,10487,2,0,0,0,35,0,2,3,10,10,0.056508915,1,0
10250_2019,1,1,0,1,0,0,1,1,0,7337,5,0,0,0,9,0,1,5,10,4,0.051960838,2,0
10256_2019,0,0,0,1,1,0,1,1,1,25352,106,0,1,0,8,2,1,5,10,45,0.215065328,6,0
10259_2019,0,0,0,1,0,0,1,1,0,8821,2,0,0,0,3,0,1,1,7,9,0.056420624,1,0
10264_2019,1,1,0,1,0,0,1,1,0,3331,2,0,0,0,15,0,1,13,41,18,0.215065328,1,0
10268_2019,0,0,0,1,0,0,1,1,0,1298,2,0,0,0,6,0,1,2,7,12,0.06199098,1,0
10271_2019,1,0,1,1,0,0,1,1,0,3697,4,0,0,0,9,0,1,3,12,65,0.070828996,1,0
10276_2019,0,0,1,1,0,1,1,1,0,5622,6,0,0,0,30,0,2,8,32,80,0.060172981,1,0
10284_2019,1,0,1,1,0,0,1,1,0,5365,13,0,0,0,18,0,2,6,28,76,0.053405095,1,0
10286_2019,0,0,1,1,0,0,1,1,0,2266,4,0,0,0,5,0,3,3,5,82,0.05265626,1,0
10289_2019,0,0,1,1,0,0,1,1,0,5149,4,0,0,0,11,0,3,5,17,19,0.06199098,1,0
10292_2019,1,0,1,1,0,1,1,1,0,6342,2,0,0,0,21,0,4,1,31,68,0.05615235,1,0
10293_2019,1,0,0,1,0,0,1,1,0,4918,4,0,0,0,12,0,0,5,19,30,0.079385928,1,0
10295_2019,1,0,0,1,0,1,1,1,0,2144,4,0,0,0,19,0,2,11,30,30,0.057689878,1,0
10296_2019,1,0,0,1,0,0,1,1,0,3731,4,0,0,0,7,0,4,4,11,25,0.266066142,1,1
10305_2019,0,0,0,1,0,0,1,1,0,1429,0,0,0,0,8,0,0,1,1,48,0.141944537,1,0
10309_2019,0,1,0,1,0,0,1,1,0,4266,11,0,0,0,12,0,1,1,1,27,0.060194856,1,0
1030_2019,1,0,0,1,0,0,1,1,0,9536,14,0,0,0,18,0,6,5,11,43,0.059550874,1,0
10311_2019,0,0,0,1,1,0,1,1,0,10574,2,0,0,0,29,0,2,1,14,15,0.091175576,1,0
10312_2019,0,0,0,1,0,0,1,1,0,8612,0,0,0,0,7,0,0,1,3,12,0.052703346,1,0
10316_2019,0,0,0,1,0,0,1,1,0,781,0,0,0,0,4,0,0,1,4,55,0.069387896,1,0
10317_2019,0,0,1,1,0,0,1,1,0,6293,4,0,0,0,6,0,0,1,1,21,0.06056109,1,0
10319_2019,1,0,1,1,0,0,1,1,0,5750,7,0,0,0,10,0,4,8,13,49,0.059236993,1,0
10331_2019,0,0,0,1,0,0,1,1,0,1191,5,0,0,0,5,0,2,7,8,45,0.05766577,2,0
10335_2019,1,1,0,1,0,0,1,1,1,3329,42,1,0,0,10,1,11,3,14,10,0.051960838,1,0
10336_2019,0,0,0,1,0,0,1,1,0,12439,5,0,0,0,13,0,3,1,1,1,0.060642233,1,0
10337_2019,0,0,0,1,1,0,1,1,1,5430,106,1,0,0,18,1,3,5,17,25,0.052313457,1,0
10339_2019,0,0,1,1,0,0,1,1,0,3855,2,0,0,0,4,0,1,2,22,48,0.051960838,1,0
10340_2019,1,0,1,1,0,0,1,1,1,12832,203,0,2,0,25,3,5,1,3,17,0.060073344,1,0
10345_2019,0,0,0,1,0,0,1,1,0,2030,0,0,0,0,2,0,0,5,9,65,0.215065328,1,0
10346_2019,1,0,1,1,0,1,1,1,0,12926,0,0,0,0,35,0,0,5,45,26,0.051960838,1,0
10348_2019,1,0,1,1,0,0,1,1,0,6401,0,0,0,0,7,0,0,1,4,99,0.060103577,1,0
10352_2019,1,0,1,1,0,1,1,1,0,13285,2,0,0,0,11,0,0,9,31,1,0.06199098,1,0
10354_2019,1,0,1,1,0,0,1,1,0,4080,6,0,0,0,17,0,5,9,16,55,0.054475509,1,0
10362_2019,1,1,1,1,0,1,1,1,0,4816,26,0,0,0,15,0,0,1,2,37,0.052619272,1,0
10365_2019,1,0,1,1,0,0,1,1,0,3575,2,0,0,0,11,0,1,7,14,39,0.05550097,1,0
10367_2019,1,0,1,1,0,0,1,1,0,10919,4,0,0,0,13,0,1,7,25,2,0.053619199,1,0
10368_2019,0,0,0,1,0,0,1,1,0,2058,2,0,0,0,3,0,0,1,8,0,0.10654776,1,0
1036_2019,0,0,1,1,0,1,1,1,0,13758,2,0,0,0,15,0,1,2,6,1,0.728557563,1,0
10376_2019,1,0,1,1,0,1,1,1,0,5422,4,0,0,0,21,0,0,7,28,25,0.055907988,1,0
10378_2019,0,0,0,1,1,0,1,1,1,7559,99,0,0,1,10,1,1,4,22,79,0.069290624,1,1
10379_2019,0,0,0,1,0,0,1,1,1,3351,7,1,0,0,18,1,1,14,40,45,0.055645092,1,0
10383_2019,1,0,0,1,0,1,1,1,0,7207,0,0,0,0,9,0,1,4,4,13,0.052475329,1,0
10384_2019,0,0,0,1,0,0,1,1,0,5317,9,0,0,0,15,0,2,1,3,6,0.054038813,1,0
10387_2019,1,0,1,1,0,0,1,1,0,11860,5,0,0,0,12,0,1,8,24,38,0.05381539,1,0
10388_2019,0,0,0,1,1,0,1,1,0,2857,4,0,0,0,5,0,3,2,3,46,0.054308117,1,0
10392_2019,0,0,0,1,0,0,1,1,0,2203,2,0,0,0,9,0,1,2,10,4,0.058363572,1,0
10393_2019,1,0,0,1,0,0,1,1,0,1963,0,0,0,0,8,0,0,5,21,38,0.056190647,1,0
10394_2019,0,0,1,1,0,0,1,1,0,2807,2,0,0,0,15,0,1,4,20,34,0.068705995,1,0
10396_2019,1,0,0,1,0,1,1,1,0,5398,10,0,0,0,18,0,7,1,7,16,0.051960838,1,0
10400_2019,0,0,1,1,0,1,1,1,0,5207,8,0,0,0,9,0,3,3,16,4,0.057414903,1,0
10402_2019,1,0,1,1,0,0,1,1,0,2572,4,0,0,0,13,0,1,7,26,0,0.058826947,1,0
10407_2019,0,0,1,1,0,0,1,1,0,1198,0,0,0,0,2,0,0,3,5,113,0.064591806,1,0
10411_2019,0,0,0,1,0,0,1,1,0,25201,3,0,0,0,8,0,1,2,2,10,0.059847046,1,0
10412_2019,0,0,0,1,0,1,1,1,0,5088,6,0,0,0,13,0,1,7,24,18,0.061359488,1,0
10413_2019,0,0,1,1,0,0,1,1,0,6118,0,0,0,0,18,0,1,1,3,2,0.055569151,1,0
10415_2019,0,0,0,1,0,0,1,1,1,3549,3,0,0,1,4,1,1,3,8,0,0.062953806,1,0
10417_2019,0,1,1,1,0,0,1,1,1,2834,5,0,0,0,9,1,0,5,14,26,0.05808912,1,0
10419_2019,0,0,0,1,0,0,1,1,0,2218,2,0,0,0,10,0,0,1,5,15,0.092551053,1,0
1041_2019,0,0,0,1,0,0,1,1,0,5040,0,0,0,0,9,0,0,1,4,14,0.215065328,1,0
10422_2019,1,0,1,1,0,0,1,1,0,11551,2,0,0,0,18,0,1,5,10,42,0.059145971,1,0
10423_2019,0,0,0,1,0,0,1,1,0,2184,4,0,0,0,12,0,1,3,18,27,0.055315135,4,0
10424_2019,1,0,0,1,0,0,1,1,0,6251,5,0,0,0,18,0,1,3,15,10,0.054905759,1,0
10425_2019,1,0,0,1,0,1,1,1,0,5463,9,0,0,0,12,0,2,3,13,29,0.053888644,1,0
10428_2019,1,0,1,1,0,0,1,1,0,12162,0,0,0,0,15,0,0,1,2,9,0.05539656,1,0
1042_2019,1,1,0,1,0,0,1,1,0,4931,16,0,0,0,15,0,2,1,6,44,0.061123073,1,0
10430_2019,0,0,1,1,1,0,1,1,0,9848,103,0,0,0,13,0,3,1,15,15,0.123139469,1,0
10432_2019,0,0,1,1,0,0,1,1,0,2170,2,0,0,0,10,0,0,5,12,74,0.554461482,1,0
10438_2019,1,1,1,1,0,0,1,1,0,2183,6,0,0,0,21,0,2,6,19,12,0.266066142,1,0
10440_2019,1,0,0,1,0,0,1,1,0,5775,2,0,0,0,14,0,2,1,5,61,0.431070778,1,0
10442_2019,1,0,1,1,0,0,1,1,0,6963,114,0,0,0,25,0,5,3,32,37,0.300140281,1,0
10446_2019,1,0,0,1,0,0,1,1,1,7431,5,0,0,0,9,1,0,3,13,16,0.052060766,1,0
10455_2019,0,1,1,1,0,0,1,1,0,6015,16,0,0,0,13,0,0,25,47,28,0.215065328,1,0
10456_2019,0,0,0,1,0,0,1,1,0,4740,0,0,0,0,17,0,0,7,20,10,0.054475509,1,0
10462_2019,1,0,1,1,0,0,1,1,0,8150,8,0,0,0,24,0,8,17,32,18,0.05616037,1,0
10464_2019,1,1,1,1,0,0,1,1,1,5254,5,0,0,1,6,1,1,3,11,0,0.051960838,1,0
10468_2019,1,0,0,1,0,0,1,1,0,2332,2,0,0,0,10,0,1,1,14,50,0.059421884,1,0
10472_2019,0,0,0,1,0,0,1,1,0,6400,0,0,0,0,9,0,0,5,34,11,0.06199098,1,0
10473_2019,0,0,0,1,0,0,1,1,0,1906,0,0,0,0,10,0,0,17,28,31,0.052735625,1,0
10474_2019,1,0,0,1,0,0,1,1,0,2670,2,0,0,0,4,0,1,6,8,54,0.431070778,1,0
10476_2019,1,0,0,1,0,0,1,1,0,2911,2,0,0,0,3,0,0,5,10,39,0.117868945,1,0
1047_2019,1,0,0,1,0,0,1,1,0,2694,0,0,0,0,4,0,1,1,4,24,0.05248487,1,0
10480_2019,0,0,0,1,0,0,1,1,0,2947,0,0,0,0,6,0,0,1,2,8,0.053450179,1,0
10481_2019,1,0,1,1,0,0,1,1,0,3056,3,0,0,0,7,0,1,2,22,32,0.059595283,1,0
10488_2019,0,0,0,1,0,0,1,1,0,2583,2,0,0,0,5,0,1,1,6,22,0.058826947,1,0
10489_2019,1,1,0,1,0,0,1,1,0,5953,8,0,0,0,13,0,3,4,18,26,0.053646124,1,0
10491_2019,0,0,1,1,0,0,1,1,0,9561,5,0,0,0,17,0,2,3,17,46,0.059595283,1,0
10493_2019,1,1,1,1,0,0,1,1,1,2781,9,1,0,0,9,1,2,10,39,50,0.060704193,1,0
10496_2019,0,0,1,1,0,0,1,1,0,6304,10,0,0,0,15,0,5,1,6,34,0.070084662,1,0
10499_2019,0,0,0,1,0,0,1,1,0,4311,4,0,0,0,12,0,1,12,20,7,0.053903845,1,0
10500_2019,0,0,1,1,0,0,1,1,0,1968,6,0,0,0,13,0,0,10,33,14,0.062019698,1,0
10501_2019,0,0,0,1,0,0,1,1,0,1604,4,0,0,0,7,0,2,7,12,85,0.060052147,1,0
10507_2019,1,0,1,1,0,0,1,1,0,3220,0,0,0,0,6,0,0,3,13,36,0.05979828,1,0
10508_2019,1,1,0,1,0,0,1,1,0,4985,19,0,0,0,21,0,2,7,20,34,0.054901796,1,0
10509_2019,0,0,0,1,0,0,1,1,0,802,0,0,0,0,6,0,0,1,10,88,0.052937746,1,0
1050_2019,1,1,1,1,0,0,1,1,0,3299,8,0,0,0,9,0,2,5,22,12,0.056322813,1,0
10512_2019,0,0,0,1,0,0,1,1,0,5178,0,0,0,0,9,0,1,2,10,7,0.062915407,1,0
10514_2019,0,0,0,1,0,0,1,1,0,4903,6,0,0,0,10,0,1,3,16,35,0.059029268,1,0
10517_2019,0,0,0,1,0,0,1,1,0,4117,96,0,0,0,20,0,2,1,5,12,0.055166348,1,0
10518_2019,1,0,0,1,0,0,1,1,0,6415,4,0,0,0,8,0,2,3,12,53,0.061500451,1,0
1051_2019,0,0,0,1,0,0,1,1,0,12930,6,0,0,0,9,0,2,3,9,8,0.052302216,1,0
10523_2019,1,0,0,1,0,0,1,1,0,11740,5,0,0,0,13,0,3,7,28,17,0.061662858,1,0
10525_2019,0,0,1,1,0,0,1,1,0,5764,0,0,0,0,3,0,0,3,20,0,0.215065328,1,0
10527_2019,0,1,0,1,0,1,1,1,1,5388,6,0,0,0,21,1,4,3,27,41,0.055556889,1,0
1053_2019,1,1,0,1,0,0,1,1,1,9437,6,0,0,1,10,1,3,6,25,67,0.060642233,1,0
10541_2019,0,0,0,1,0,0,1,1,0,3005,13,0,0,0,14,0,4,10,18,59,0.053013241,1,0
10544_2019,0,0,1,1,0,0,1,1,0,12491,0,0,0,0,6,0,0,2,4,33,0.053753469,1,0
10548_2019,0,0,0,1,0,0,1,1,0,6885,2,0,0,0,13,0,1,1,4,17,0.062715966,1,0
10550_2019,1,0,0,1,0,0,1,1,0,5750,120,0,0,0,17,0,5,22,30,33,0.099789092,1,0
10553_2019,0,0,0,1,0,0,1,1,0,2853,0,0,0,0,9,0,0,1,19,5,0.057284589,1,0
10558_2019,0,0,0,1,0,0,1,1,0,4940,0,0,0,0,10,0,1,6,26,64,0.051960838,1,0
1055_2019,0,0,0,1,1,1,1,1,0,8053,4,0,0,0,6,0,1,6,8,7,0.215065328,1,0
10562_2019,1,0,1,1,0,0,1,1,0,5890,3,0,0,0,9,0,1,2,4,64,0.056621701,1,1
10565_2019,0,0,1,1,0,0,1,1,0,2482,2,0,0,0,8,0,2,2,5,22,0.185795015,1,0
10567_2019,0,0,1,1,0,0,1,1,0,5702,2,0,0,0,8,0,0,4,5,54,0.059365142,1,0
10569_2019,1,0,0,1,0,0,1,1,1,5116,11,0,0,0,14,1,0,8,25,31,0.052750341,1,0
10580_2019,0,0,0,1,0,0,1,1,0,4064,97,0,0,0,9,0,3,3,6,25,0.06164013,1,0
10584_2019,1,0,1,1,0,0,1,1,0,4316,2,0,0,0,11,0,2,6,9,21,0.057452899,1,0
10588_2019,0,0,0,1,0,0,1,1,0,1417,6,0,0,0,4,0,2,7,19,77,0.059798604,1,0
10595_2019,1,0,1,1,0,0,1,1,1,6505,5,0,0,1,18,1,2,5,9,21,0.055412118,1,0
1059_2019,1,0,0,1,0,0,1,1,0,7514,5,0,0,0,10,0,1,1,3,46,0.051960838,3,0
10601_2019,0,0,0,1,0,0,1,1,0,2994,0,0,0,0,2,0,0,3,6,0,0.10654776,1,0
1060_2019,1,0,0,1,0,0,1,1,0,5959,2,0,0,0,9,0,1,1,9,32,0.051960838,1,0
10610_2019,0,1,0,1,0,0,1,1,0,4240,20,0,0,0,16,0,9,1,4,18,0.055687876,1,0
10613_2019,1,0,0,1,0,0,1,1,0,7999,2,0,0,0,3,0,1,3,3,10,0.058360914,1,0
10616_2019,0,0,1,1,0,0,1,1,1,7099,101,0,0,3,12,3,2,1,8,60,0.110861983,1,0
10618_2019,0,0,0,1,0,0,1,1,0,5922,96,0,0,0,8,0,0,5,16,2,0.051960838,1,0
10619_2019,0,0,0,1,1,1,1,1,1,15053,194,1,2,0,18,3,1,7,31,37,0.061213649,1,0
1061_2019,0,0,1,1,0,0,1,1,1,4431,2,1,0,0,11,1,1,1,7,45,0.093613645,1,0
10620_2019,1,0,0,1,0,0,1,1,0,7531,11,0,0,0,26,0,1,1,18,10,0.215065328,1,0
10624_2019,0,1,1,1,0,0,1,1,1,6227,105,0,1,0,17,1,3,7,22,32,0.071043131,2,0
10627_2019,0,0,1,1,0,0,1,1,0,10153,2,0,0,0,15,0,0,3,9,4,0.059677592,1,0
1062_2019,1,1,0,1,0,0,1,1,1,6411,103,0,1,0,8,1,2,2,3,68,0.056557026,1,0
10631_2019,1,0,1,1,0,0,1,1,0,3951,0,0,0,0,6,0,0,4,10,11,0.051960838,1,0
10633_2019,0,0,0,1,0,1,1,1,0,6185,4,0,0,0,29,0,2,4,25,4,0.057775845,1,0
10635_2019,1,0,0,1,0,0,1,1,0,6108,0,0,0,0,7,0,0,1,6,54,0.053974008,1,0
10636_2019,0,0,0,1,1,0,1,1,0,9922,96,0,1,0,9,1,0,2,3,37,0.051960838,1,0
10638_2019,0,0,0,1,0,1,1,1,0,5712,0,0,0,0,15,0,0,1,10,11,0.059936212,1,0
10640_2019,1,1,0,1,0,0,1,1,0,3271,0,0,0,0,3,0,0,2,8,25,0.051960838,1,0
10643_2019,0,0,0,1,0,0,1,1,0,2476,0,0,0,0,5,0,0,5,7,0,0.051960838,1,0
10647_2019,1,0,1,1,0,1,1,1,0,9851,10,0,0,0,15,0,2,8,27,4,0.065202345,1,0
10648_2019,0,0,1,1,0,0,1,1,1,6807,20,0,0,1,11,2,3,3,12,66,0.056741314,1,0
10654_2019,0,0,1,1,0,1,1,1,0,3037,0,0,0,0,10,0,1,4,12,18,0.062276623,1,0
10656_2019,0,0,0,1,0,1,1,1,0,10284,117,0,0,0,17,0,10,6,17,61,0.059029268,1,0
10657_2019,0,0,0,1,0,0,1,1,0,2133,3,0,0,0,6,0,1,2,7,61,0.05535093,1,0
1065_2019,1,0,0,1,0,0,1,1,0,5162,0,0,0,0,7,0,1,7,22,3,0.058140983,1,0
10662_2019,0,0,1,1,0,0,1,1,0,4452,0,0,0,0,7,0,0,1,15,0,0.05405351,1,0
10664_2019,1,0,0,1,0,0,1,1,1,2539,99,1,0,0,5,1,1,1,2,40,0.300140281,1,0
10666_2019,0,0,0,1,0,0,1,1,0,4525,0,0,0,0,3,0,1,2,3,52,0.057595801,1,0
10667_2019,0,0,0,1,0,0,1,1,1,4493,3,0,0,0,11,2,0,3,9,18,0.051960838,1,0
10668_2019,0,0,0,1,0,1,1,1,1,9069,7,0,0,0,14,1,2,8,12,12,0.055828298,1,0
10669_2019,0,0,1,1,0,0,1,1,0,11497,4,0,0,0,15,0,0,1,9,2,0.060642233,1,0
1066_2019,1,0,0,1,0,0,1,1,0,3261,3,0,0,0,7,0,1,3,15,16,0.062356635,1,0
